Ikä 31.12.2023,Määrä
0,43465
1,45597
2,50842
3,48108
4,47594
5,49950
6,53069
7,55926
8,58548
9,60825
10,61821
11,63395
12,63734
13,64877
14,64481
15,63639
16,62978
17,63356
18,62248
19,62584
20,61274
21,60182
22,60865
23,62252
24,63649
25,63375
26,66413
27,68368
28,71034
29,73609
30,73825
31,76763
32,75877
33,76984
34,75274
35,75338
36,71826
37,72300
38,73954
39,75742
40,76563
41,75689
42,72333
43,71532
44,70545
45,70490
46,70685
47,70980
48,69284
49,65813
50,59911
51,61665
52,63162
53,65012
54,66049
55,70502
56,72043
57,72033
58,72251
59,73203
60,73619
61,72509
62,71687
63,70977
64,69997
65,67372
66,69572
67,70734
68,69523
69,68999
70,67191
71,68812
72,65731
73,66908
74,67891
75,67907
76,66205
77,62792
78,54678
79,42353
80,38886
81,30200
82,41906
83,27982
84,30758
85,27332
86,23816
87,20372
88,18229
89,15295
90,12489
91,10914
92,9146
93,7485
94,5651
95,4115
96,2854
97,1971
98,1377
99,777
100 -,1153
